样本,换仓日,持有周期,持仓股票,持仓股票名称,持仓数量
全市场,20210730,2021-08,"601019.SH,600361.SH,600235.SH,601288.SH,603689.SH","山东出版,创新新材,民丰特纸,农业银行,皖天然气",5
全市场,20210630,2021-07,"601328.SH,002936.SZ,600015.SH,601368.SH,002037.SZ","交通银行,郑州银行,华夏银行,绿城水务,保利联合",5
全市场,20210531,2021-06,"600717.SH,600017.SH,600269.SH,600068.SH,920819.BJ","天津港,日照港,赣粤高速,600068.SH,颖泰生物",5
全市场,20210430,2021-05,"601169.SH,601916.SH,601988.SH,920819.BJ,601106.SH","北京银行,浙商银行,中国银行,颖泰生物,中国一重",5
全市场,20210331,2021-04,"600713.SH,002275.SZ,600479.SH,601169.SH,000909.SZ","南京医药,桂林三金,千金药业,北京银行,ST数源",5
全市场,20210226,2021-03,"000543.SZ,600558.SH,601158.SH,601988.SH,600502.SH","皖能电力,大西洋,重庆水务,中国银行,安徽建工",5
全市场,20210129,2021-02,"601988.SH,002344.SZ,601288.SH,600016.SH,600284.SH","中国银行,海宁皮城,农业银行,民生银行,浦东建设",5
全市场,20201231,2021-01,"601988.SH,601328.SH,002133.SZ,601288.SH,600843.SH","中国银行,交通银行,广宇集团,农业银行,上工申贝",5
全市场,20201130,2020-12,"000900.SZ,603567.SH,600269.SH,601718.SH,601010.SH","现代投资,珍宝岛,赣粤高速,际华集团,文峰股份",5
全市场,20201030,2020-11,"600269.SH,601006.SH,600317.SH,600808.SH,002215.SZ","赣粤高速,大秦铁路,600317.SH,马钢股份,诺普信",5
全市场,20200930,2020-10,"600000.SH,601006.SH,601158.SH,601328.SH,601169.SH","浦发银行,大秦铁路,重庆水务,交通银行,北京银行",5
全市场,20200831,2020-09,"600269.SH,601816.SH,600892.SH,600028.SH,600035.SH","赣粤高速,京沪高铁,*ST大晟,中国石化,楚天高速",5
全市场,20200731,2020-08,"603980.SH,002775.SZ,002144.SZ,002687.SZ,601002.SH","吉华集团,文科股份,宏达高科,乔治白,晋亿实业",5
全市场,20200630,2020-07,"600015.SH,600284.SH,601328.SH,600269.SH,002386.SZ","华夏银行,浦东建设,交通银行,赣粤高速,天原股份",5
全市场,20200529,2020-06,"002936.SZ,601229.SH,600713.SH,600642.SH,600979.SH","郑州银行,上海银行,南京医药,申能股份,广安爱众",5
全市场,20200430,2020-05,"601328.SH,000630.SZ,601288.SH,601916.SH,600705.SH","交通银行,铜陵有色,农业银行,浙商银行,600705.SH",5
全市场,20200331,2020-04,"003816.SZ,600269.SH,600023.SH,601158.SH,000543.SZ","中国广核,赣粤高速,浙能电力,重庆水务,皖能电力",5
全市场,20200228,2020-03,"002037.SZ,002344.SZ,600123.SH,600015.SH,601658.SH","保利联合,海宁皮城,兰花科创,华夏银行,邮储银行",5
全市场,20200123,2020-02,"600611.SH,600317.SH,601328.SH,601988.SH,601188.SH","大众交通,600317.SH,交通银行,中国银行,龙江交通",5
全市场,20191231,2020-01,"002394.SZ,600016.SH,600269.SH,601766.SH,601328.SH","联发股份,民生银行,赣粤高速,中国中车,交通银行",5
全市场,20191129,2019-12,"600269.SH,601368.SH,000900.SZ,000417.SZ,600475.SH","赣粤高速,绿城水务,现代投资,合百集团,华光环能",5
全市场,20191031,2019-11,"600269.SH,600023.SH,600611.SH,600992.SH,000828.SZ","赣粤高速,浙能电力,大众交通,贵绳股份,东莞控股",5
全市场,20190930,2019-10,"002029.SZ,601985.SH,002344.SZ,600023.SH,600269.SH","七匹狼,中国核电,海宁皮城,浙能电力,赣粤高速",5
全市场,20190830,2019-09,"002344.SZ,002533.SZ,600795.SH,600016.SH,601328.SH","海宁皮城,金杯电工,国电电力,民生银行,交通银行",5
全市场,20190731,2019-08,"002936.SZ,600015.SH,600982.SH,601988.SH,601366.SH","郑州银行,华夏银行,宁波能源,中国银行,利群股份",5
全市场,20190628,2019-07,"600926.SH,600015.SH,601988.SH,600908.SH,000888.SZ","杭州银行,华夏银行,中国银行,无锡银行,峨眉山Ａ",5
全市场,20190531,2019-06,"000528.SZ,000623.SZ,000952.SZ,600016.SH,600576.SH","柳工,吉林敖东,广济药业,民生银行,祥源文旅",5
全市场,20190430,2019-05,"600811.SH,601158.SH,600820.SH,601766.SH,002187.SZ","600811.SH,重庆水务,隧道股份,中国中车,广百股份",5
全市场,20190329,2019-04,"603855.SH,600269.SH,000685.SZ,600236.SH,000541.SZ","华荣股份,赣粤高速,中山公用,桂冠电力,佛山照明",5
全市场,20190228,2019-03,"600461.SH,600676.SH,600269.SH,600642.SH,603286.SH","洪城环境,交运股份,赣粤高速,申能股份,日盈电子",5
全市场,20190131,2019-02,"600269.SH,600039.SH,600676.SH,601163.SH,600461.SH","赣粤高速,四川路桥,交运股份,三角轮胎,洪城环境",5
全市场,20181228,2019-01,"600103.SH,600919.SH,600015.SH,000417.SZ,601997.SH","青山纸业,江苏银行,华夏银行,合百集团,贵阳银行",5
全市场,20181130,2018-12,"601368.SH,601158.SH,600488.SH,601009.SH,600713.SH","绿城水务,重庆水务,津药药业,南京银行,南京医药",5
全市场,20181031,2018-11,"601107.SH,600033.SH,600269.SH,601199.SH,601158.SH","四川成渝,福建高速,赣粤高速,江南水务,重庆水务",5
全市场,20180928,2018-10,"000623.SZ,000900.SZ,600103.SH,600269.SH,002750.SZ","吉林敖东,现代投资,青山纸业,赣粤高速,002750.SZ",5
全市场,20180831,2018-09,"600628.SH,002393.SZ,601368.SH,600833.SH,600168.SH","新世界,力生制药,绿城水务,第一医药,武汉控股",5
全市场,20180731,2018-08,"600168.SH,603001.SH,600269.SH,600713.SH,600551.SH","武汉控股,奥康国际,赣粤高速,南京医药,时代出版",5
全市场,20180629,2018-07,"600269.SH,002187.SZ,002375.SZ,600919.SH,601010.SH","赣粤高速,广百股份,亚厦股份,江苏银行,文峰股份",5
全市场,20180531,2018-06,"600269.SH,600279.SH,600676.SH,601158.SH,601968.SH","赣粤高速,重庆港,交运股份,重庆水务,宝钢包装",5
全市场,20180427,2018-05,"601368.SH,600170.SH,600724.SH,601107.SH,600098.SH","绿城水务,上海建工,宁波富达,四川成渝,广州发展",5
全市场,20180330,2018-04,"002154.SZ,000719.SZ,600177.SH,000978.SZ,002133.SZ","报喜鸟,中原传媒,雅戈尔,桂林旅游,广宇集团",5
全市场,20180228,2018-03,"600168.SH,000700.SZ,600269.SH,601107.SH,600327.SH","武汉控股,模塑科技,赣粤高速,四川成渝,大东方",5
全市场,20180131,2018-02,"000589.SZ,600327.SH,000837.SZ,600611.SH,002528.SZ","贵州轮胎,大东方,秦川机床,大众交通,ST英飞拓",5
全市场,20171229,2018-01,"601339.SH,601616.SH,600190.SH,002433.SZ,600396.SH","百隆东方,广电电气,600190.SH,002433.SZ,华电辽能",5
全市场,20171130,2017-12,"601107.SH,601518.SH,600611.SH,001896.SZ,601339.SH","四川成渝,吉林高速,大众交通,豫能控股,百隆东方",5
全市场,20171031,2017-11,"600269.SH,000850.SZ,002154.SZ,600218.SH,601107.SH","赣粤高速,华茂股份,报喜鸟,全柴动力,四川成渝",5
全市场,20170929,2017-10,"601158.SH,600479.SH,601199.SH,601188.SH,601339.SH","重庆水务,千金药业,江南水务,龙江交通,百隆东方",5
全市场,20170831,2017-09,"600982.SH,002033.SZ,002566.SZ,603001.SH,600748.SH","宁波能源,丽江股份,益盛药业,奥康国际,上实发展",5
全市场,20170731,2017-08,"601368.SH,002433.SZ,600894.SH,000650.SZ,600422.SH","绿城水务,002433.SZ,广日股份,仁和药业,昆药集团",5
全市场,20170630,2017-07,"000417.SZ,600269.SH,601218.SH,002344.SZ,600565.SH","合百集团,赣粤高速,吉鑫科技,海宁皮城,600565.SH",5
全市场,20170531,2017-06,"002144.SZ,600269.SH,000850.SZ,600221.SH,600839.SH","宏达高科,赣粤高速,华茂股份,海航控股,四川长虹",5
全市场,20170428,2017-05,"600811.SH,603020.SH,600218.SH,002024.SZ,600824.SH","600811.SH,爱普股份,全柴动力,ST易购,益民集团",5
全市场,20170331,2017-04,"600811.SH,000016.SZ,002477.SZ,002024.SZ,601010.SH","600811.SH,深康佳Ａ,002477.SZ,ST易购,文峰股份",5
全市场,20170228,2017-03,"600085.SH,601929.SH,000650.SZ,600220.SH,600811.SH","同仁堂,吉视传媒,仁和药业,600220.SH,600811.SH",5
全市场,20170126,2017-02,"601398.SH,600190.SH,600674.SH,601288.SH,600317.SH","工商银行,600190.SH,川投能源,农业银行,600317.SH",5
全市场,20161230,2017-01,"002498.SZ,000979.SZ,000600.SZ,600020.SH,600220.SH","汉缆股份,000979.SZ,建投能源,中原高速,600220.SH",5
全市场,20161130,2016-12,"002506.SZ,600168.SH,000559.SZ,002181.SZ,600488.SH","协鑫集成,武汉控股,万向钱潮,粤传媒,津药药业",5
全市场,20161031,2016-11,"600578.SH,000876.SZ,600011.SH,600269.SH,601166.SH","京能电力,新希望,华能国际,赣粤高速,兴业银行",5
全市场,20160930,2016-10,"600284.SH,000816.SZ,000650.SZ,600033.SH,600959.SH","浦东建设,智慧农业,仁和药业,福建高速,江苏有线",5
全市场,20160831,2016-09,"600959.SH,002181.SZ,603116.SH,002420.SZ,600190.SH","江苏有线,粤传媒,红蜻蜓,毅昌科技,600190.SH",5
全市场,20160729,2016-08,"601857.SH,000883.SZ,601258.SH,002154.SZ,600795.SH","中国石油,湖北能源,601258.SH,报喜鸟,国电电力",5
全市场,20160630,2016-07,"601006.SH,600795.SH,000528.SZ,600015.SH,600269.SH","大秦铁路,国电电力,柳工,华夏银行,赣粤高速",5
全市场,20160531,2016-06,"600089.SH,601010.SH,600050.SH,601999.SH,601188.SH","特变电工,文峰股份,中国联通,出版传媒,龙江交通",5
全市场,20160429,2016-05,"601398.SH,600875.SH,600004.SH,600795.SH,601988.SH","工商银行,东方电气,白云机场,国电电力,中国银行",5
全市场,20160331,2016-04,"603699.SH,601218.SH,601558.SH,600439.SH,600567.SH","纽威股份,吉鑫科技,601558.SH,瑞贝卡,山鹰国际",5
