,ts_code,name,market,publisher,category,base_date,base_point,list_date
141,930646.CSI,美股中国内地(USD),CSI,中证指数有限公司,规模指数,20070629,1000.0,20180814
142,930647.CSI,美股中国内地(CNY),CSI,中证指数有限公司,规模指数,20070629,1000.0,20180814
143,930748.CSI,沪深300USD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20151106
144,930749.CSI,沪深300USD(CNH),CSI,中证指数有限公司,规模指数,20041231,1000.0,20151106
145,930750.CSI,中证500USD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20151106
146,930751.CSI,中证500USD(CNH),CSI,中证指数有限公司,规模指数,20041231,1000.0,20151106
147,930752.CSI,中证500HKD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20151106
148,930753.CSI,中证500HKD(CNH),CSI,中证指数有限公司,规模指数,20041231,1000.0,20151106
149,930931.CSI,港股通50(HKD),CSI,中证指数有限公司,规模指数,20141114,3000.0,20170116
150,930934.CSI,港股通50(CNY),CSI,中证指数有限公司,规模指数,20141114,3000.0,20170116
151,931269.CSI,港股通30,CSI,中证指数有限公司,规模指数,20141114,3000.0,20231121
152,931269CNY200.CSI,港股通30CNY,CSI,中证指数有限公司,规模指数,20141114,3000.0,20231121
153,931269CNY210.CSI,港股通30(全)CNY,CSI,中证指数有限公司,规模指数,20141114,3000.0,20231121
154,931269HKD210.CSI,港股通30(全),CSI,中证指数有限公司,规模指数,20141114,3000.0,20231121
155,931359.CSI,沪深300AUD(CNH),CSI,中证指数有限公司,规模指数,20041231,1000.0,20050408
156,931395.CSI,沪港深300,CSI,中证指数有限公司,规模指数,20141114,1000.0,20200114
157,931396.CSI,沪港深300HKD,CSI,中证指数有限公司,规模指数,20141114,1000.0,20200114
158,931401.CSI,香港30,CSI,中证指数有限公司,规模指数,20041231,1000.0,20231121
159,931401CNY200.CSI,香港30CNY,CSI,中证指数有限公司,规模指数,20041231,1000.0,20231121
160,931401CNY210.CSI,香港30(全)CNY,CSI,中证指数有限公司,规模指数,20041231,1000.0,20231121
161,931401HKD210.CSI,香港30(全),CSI,中证指数有限公司,规模指数,20041231,1000.0,20231121
162,931459.CSI,中证800USD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20200311
163,931460.CSI,中证1000USD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20200311
164,931643.CSI,科创创业50,CSI,中证指数有限公司,规模指数,20191231,1000.0,20210601
165,931643CNY01.CSI,科创创业50全收益,CSI,中证指数有限公司,规模指数,20191231,1000.0,20210601
166,931660.CSI,中证东盟80,CSI,中证指数有限公司,规模指数,20041231,1000.0,20110812
167,931660CNY01.CSI,中证东盟80全收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20110812
168,931660USD00.CSI,中证东盟80美元指数,CSI,中证指数有限公司,规模指数,20041231,1000.0,20110812
169,931660USD01.CSI,中证东盟80美元全收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20110812
170,931788.CSI,中韩50,CSI,中证指数有限公司,规模指数,20141231,1000.0,20211220
