trade_date,ic
20220530,-0.09204526197420156
20220627,-0.006426338532488471
20220725,0.19169166557975736
20220829,0.09663488399476537
20220926,-0.30683196380469807
20221024,
20221031,-0.127027117098518
20221128,-0.03566107901447488
20221219,0.9999999999999999
20221226,0.1366624946403867
20230130,-0.011354061228287077
20230213,
20230227,0.010168116217485618
20230327,0.006662698521026869
20230424,-0.021620353689333485
20230522,
20230529,0.026575497463575546
20230605,
20230626,-0.07920523008689836
20230724,
20230731,-0.06447820570347365
20230828,-0.11002188289638778
20230925,-0.020142454395726164
20231023,
20231030,0.06675776771750341
20231127,0.10931253076950681
20231218,0.0
20231225,0.12349294494804615
20240129,0.042028999199411166
20240226,0.05939468476215261
20240325,0.020239539757953777
20240429,-0.09908305287245349
20240527,0.04106071006436366
20240624,-0.09191027356765682
20240729,0.0379498480320357
20240826,0.13492121305424865
20240923,-0.9999999999999999
20240930,0.010590851405778643
20241014,
20241028,-0.13652451486167344
20241111,
20241125,0.04547806972494207
20241216,-0.5
20241230,0.057868445932249664
20250120,
20250127,0.007624155380910886
20250210,
20250224,-0.04835165697003467
20250324,-0.5
20250331,-0.022074180823896002
20250428,-0.11942710607444393
20250519,-0.9999999999999999
20250526,0.00930104598866845
20250623,
20250630,-0.05189841793641167
20250721,
20250728,0.03694226892222884
20250818,
20250825,-0.08280192818068567
20250915,
20250929,-0.07016391943045248
20251013,
20251020,-0.9999999999999999
20251027,-0.07700276869432938
20251124,-0.11505135105135106
20251222,
20251229,-0.017998080612778414
