ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000852.SH,20130806,4146.665,4100.472,4155.574,4092.626,4102.126,44.539,1.0858,63460297.76,66574516.43
000852.SH,20130805,4102.126,4036.286,4102.126,4036.286,4038.773,63.353,1.5686,55481187.69,58902076.774
000852.SH,20130802,4038.773,4040.019,4078.688,4034.801,4026.471,12.302,0.3055,63577496.97,68860351.134
000852.SH,20130801,4026.471,3904.843,4026.471,3904.843,3900.485,125.986,3.23,57295128.74,61159422.658
000852.SH,20130731,3900.485,3888.091,3925.291,3885.452,3882.32,18.165,0.4679,43020988.36,44950458.539
000852.SH,20130730,3882.32,3898.465,3921.875,3797.795,3901.096,-18.776,-0.4813,46604459.36,50259640.889
000852.SH,20130729,3901.096,3952.464,3966.766,3894.069,3968.932,-67.836,-1.7092,48705140.27,52626622.379
000852.SH,20130726,3968.932,3950.727,3984.382,3905.062,3963.314,5.618,0.1418,50975271.65,55280569.041
000852.SH,20130725,3963.314,4057.976,4066.008,3951.42,4057.864,-94.55,-2.33,65622663.22,73073521.901
000852.SH,20130724,4057.864,4010.292,4064.606,3986.118,4015.217,42.647,1.0621,67645799.55,74586878.761
000852.SH,20130723,4015.217,3928.55,4015.217,3928.55,3919.302,95.915,2.4472,64604799.43,70023284.137
000852.SH,20130722,3919.302,3806.729,3919.302,3794.535,3832.159,87.143,2.274,50383589.31,54039270.2
000852.SH,20130719,3832.159,3909.235,3958.214,3832.159,3911.198,-79.039,-2.0208,63718575.4,66693784.768
000852.SH,20130718,3911.198,3895.673,3933.6,3867.409,3908.83,2.368,0.0606,56634089.99,58126261.494
000852.SH,20130717,3908.83,3957.363,3979.764,3889.214,3966.64,-57.81,-1.4574,60919216.36,63890687.733
000852.SH,20130716,3966.64,3927.977,3966.64,3902.398,3923.381,43.259,1.1026,58538894.9,63014029.472
000852.SH,20130715,3923.381,3833.032,3923.381,3833.032,3829.195,94.186,2.4597,55851763.39,62425570.393
000852.SH,20130712,3829.195,3828.744,3884.54,3820.948,3832.034,-2.839,-0.0741,57146481.62,60921611.405
000852.SH,20130711,3832.034,3747.885,3855.886,3747.885,3751.047,80.987,2.1591,64681864.86,62081587.218
000852.SH,20130710,3751.047,3649.54,3751.047,3648.772,3650.696,100.351,2.7488,48918199.98,48738187.891
000852.SH,20130709,3650.696,3612.353,3650.696,3595.789,3620.65,30.046,0.8299,36798728.18,38145317.757
000852.SH,20130708,3620.65,3698.577,3705.504,3611.247,3756.334,-135.684,-3.6121,47893443.09,46784669.447
000852.SH,20130705,3756.334,3795.211,3830.267,3756.334,3795.61,-39.276,-1.0348,50909690.88,52346873.847
000852.SH,20130704,3795.61,3761.031,3839.361,3742.641,3780.596,15.014,0.3971,54343627.5,57661099.259
000852.SH,20130703,3780.596,3758.147,3789.83,3690.785,3769.933,10.663,0.2828,50712673.66,57092271.638
000852.SH,20130702,3769.933,3695.513,3769.933,3692.465,3693.602,76.331,2.0666,48886352.74,55607329.307
000852.SH,20130701,3693.602,3594.874,3693.602,3582.398,3602.107,91.495,2.54,38958083.77,41590943.535
000852.SH,20130628,3602.107,3599.109,3680.897,3556.303,3625.677,-23.57,-0.6501,42771846.16,42919592.87
000852.SH,20130627,3625.677,3703.461,3758.308,3625.638,3697.963,-72.286,-1.9548,55869028.89,59055428.047
000852.SH,20130626,3697.963,3598.272,3697.963,3578.025,3602.569,95.394,2.6479,50686996.82,53537089.317
000852.SH,20130625,3602.569,3563.808,3616.715,3330.601,3604.749,-2.18,-0.0605,59335053.58,55807449.287
000852.SH,20130624,3604.749,3824.981,3824.981,3570.711,3833.822,-229.073,-5.9751,47784422.77,46945106.157
000852.SH,20130621,3833.822,3791.659,3855.661,3721.589,3860.886,-27.064,-0.701,40189806.99,41264624.962
000852.SH,20130620,3860.886,3965.698,3976.15,3859.829,3987.299,-126.413,-3.1704,40875203.28,43747504.691
000852.SH,20130619,3987.299,3984.792,3987.299,3926.598,4005.139,-17.84,-0.4454,40639074.85,44255483.603
000852.SH,20130618,4005.139,3995.606,4013.978,3947.002,3996.336,8.803,0.2203,41621879.62,45923649.995
000852.SH,20130617,3996.336,3985.369,4028.774,3967.965,3975.523,20.813,0.5235,46110424.07,52257846.768
000852.SH,20130614,3975.523,3892.873,3981.796,3892.873,3887.745,87.778,2.2578,42188318.38,46776689.964
000852.SH,20130613,3887.745,3939.746,3939.746,3788.301,3985.51,-97.765,-2.453,44387214.49,44629006.195
000852.SH,20130607,3985.51,4036.277,4062.929,3959.855,4036.815,-51.305,-1.2709,47453490.66,48770039.134
000852.SH,20130606,4036.815,4088.039,4093.519,4033.778,4104.911,-68.096,-1.6589,45104276.83,46821439.06
000852.SH,20130605,4104.911,4073.726,4110.792,4067.026,4080.089,24.822,0.6084,43438045.59,46076960.13
000852.SH,20130604,4080.089,4166.928,4166.928,4041.676,4172.688,-92.599,-2.2192,56870094.47,60269377.551
000852.SH,20130603,4172.688,4204.524,4220.436,4163.575,4210.967,-38.279,-0.909,56174742.26,61768277.249
000852.SH,20130531,4210.967,4230.771,4256.534,4210.303,4231.042,-20.075,-0.4745,64315826.45,68170531.289
000852.SH,20130530,4231.042,4199.119,4238.515,4188.801,4213.764,17.278,0.41,62418455.62,65706448.761
000852.SH,20130529,4213.764,4178.144,4216.17,4174.72,4179.855,33.909,0.8112,63329325.59,64834094.686
000852.SH,20130528,4179.855,4207.924,4212.073,4137.089,4210.934,-31.079,-0.7381,67505585.19,71075472.306
000852.SH,20130527,4210.934,4164.27,4210.934,4163.805,4160.953,49.981,1.2012,63705975.6,71174197.92
000852.SH,20130524,4160.953,4089.49,4160.953,4089.49,4089.159,71.794,1.7557,57761472.92,62285783.646
000852.SH,20130523,4089.159,4094.112,4153.432,4076.161,4111.252,-22.093,-0.5374,64903986.55,67702091.475
000852.SH,20130522,4111.252,4158.744,4164.862,4093.929,4168.573,-57.321,-1.3751,73126834.65,78961929.021
000852.SH,20130521,4168.573,4101.087,4168.573,4093.694,4105.231,63.342,1.543,74865954.13,81521544.323
000852.SH,20130520,4105.231,4039.558,4105.231,4036.179,4031.555,73.676,1.8275,75222500.75,81130283.56
000852.SH,20130517,4031.555,3972.406,4037.421,3969.941,3977.955,53.6,1.3474,63796805.63,65851520.313
000852.SH,20130516,3977.955,3947.513,3999.965,3939.428,3953.85,24.105,0.6097,62981306.77,69532859.489
000852.SH,20130515,3953.85,3888.145,3953.85,3888.145,3889.645,64.205,1.6507,46446986.92,50636873.951
000852.SH,20130514,3889.645,3929.393,3929.393,3866.05,3936.805,-47.16,-1.1979,46944199.46,50199617.229
000852.SH,20130513,3936.805,3912.167,3936.805,3893.215,3912.064,24.741,0.6324,49325521.78,53843604.36
000852.SH,20130510,3912.064,3885.998,3912.352,3867.004,3892.921,19.143,0.4917,54585020.89,59267556.518
000852.SH,20130509,3892.921,3874.245,3892.921,3846.629,3877.752,15.169,0.3912,56215287.77,62265525.631
000852.SH,20130508,3877.752,3833.918,3877.752,3830.56,3829.515,48.237,1.2596,48955404.65,53011376.233
000852.SH,20130507,3829.515,3813.07,3836.213,3799.178,3817.576,11.939,0.3127,45384174.52,47602094.596
000852.SH,20130506,3817.576,3753.775,3821.544,3753.775,3746.931,70.645,1.8854,46778676.89,50789526.963
000852.SH,20130503,3746.931,3674.159,3752.696,3674.159,3667.159,79.772,2.1753,41185513.56,42979559.606
000852.SH,20130502,3667.159,3615.232,3667.159,3605.874,3627.497,39.662,1.0934,28425770.51,30432735.389
000852.SH,20130426,3627.497,3693.929,3705.334,3620.406,3700.487,-72.99,-1.9724,37106276.35,38611762.034
000852.SH,20130425,3700.487,3763.741,3789.448,3700.487,3770.947,-70.46,-1.8685,49579773.81,53986555.496
000852.SH,20130424,3770.947,3682.072,3774.484,3681.004,3685.545,85.402,2.3172,44270557.43,47412603.574
000852.SH,20130423,3685.545,3790.751,3790.781,3682.749,3793.253,-107.708,-2.8395,47977849.43,48481507.256
000852.SH,20130422,3793.253,3739.318,3793.253,3737.486,3752.879,40.374,1.0758,47241625.61,48010916.91
000852.SH,20130419,3752.879,3681.874,3762.402,3681.874,3681.914,70.965,1.9274,46065961.06,45795154.909
000852.SH,20130418,3681.914,3650.82,3689.279,3638.088,3669.805,12.109,0.33,33527444.55,33687630.827
